time, timemax, Amax, beta0, beta1, beta2, beta3, beta4, beta5
2016-12-12 00:00:00, 2016-12-12T12:03:00.000000000, -17.847, 1023.419, 1.280, 65.792, 60.376, 100.579, 65.281
2016-12-13 00:00:00, 2016-12-13T08:44:00.000000000, 22.995, 1023.402, 1.279, 63.363, 58.499, 101.427, 65.030
2016-12-14 00:00:00, 2016-12-14T09:47:00.000000000, 23.634, 1023.395, 1.280, 61.853, 54.614, 102.258, 63.204
2016-12-15 00:00:00, 2016-12-15T10:11:00.000000000, 29.081, 1023.379, 1.280, 61.180, 54.112, 101.655, 62.385
2016-12-16 00:00:00, 2016-12-16T15:51:00.000000000, -37.230, 1023.384, 1.282, 62.216, 56.356, 100.817, 63.775
2016-12-17 00:00:00, 2016-12-17T17:12:00.000000000, -36.275, 1023.397, 1.281, 65.215, 60.520, 97.405, 64.316
2016-12-18 00:00:00, 2016-12-18T17:11:00.000000000, -40.267, 1023.403, 1.281, 66.088, 58.287, 97.251, 61.598
2016-12-19 00:00:00, 2016-12-19T18:11:00.000000000, -38.747, 1023.410, 1.281, 66.009, 55.463, 97.991, 58.287
2016-12-20 00:00:00, 2016-12-20T19:04:00.000000000, -35.207, 1023.430, 1.280, 68.836, 59.122, 93.147, 61.857
2016-12-21 00:00:00, 2016-12-21T14:55:00.000000000, 32.063, 1023.436, 1.280, 70.801, 62.598, 90.875, 62.833
2016-12-22 00:00:00, 2016-12-22T12:52:00.000000000, 28.772, 1023.423, 1.279, 71.737, 58.652, 95.072, 59.500
2016-12-23 00:00:00, 2016-12-23T01:51:00.000000000, 20.777, 1023.387, 1.279, 74.850, 65.222, 95.141, 59.554
2016-12-24 00:00:00, 2016-12-24T14:45:00.000000000, -16.292, 1023.390, 1.278, 74.812, 74.892, 94.629, 58.094
2016-12-25 00:00:00, 2016-12-25T08:49:00.000000000, 13.357, 1023.415, 1.278, 73.949, 81.273, 90.946, 58.824
2016-12-26 00:00:00, 2016-12-26T06:00:00.000000000, -13.650, 1023.448, 1.279, 74.453, 81.541, 89.599, 58.969
